RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
75,"Marques Colston, NO WR",0/0,0,0,0,0,0,0,73,907,6,124
76,"Tom Brady, NE QB",402/626,4287,26,9,24,21,1,0,0,0,261
77,"Pierre Thomas, NO RB",0/0,0,0,0,98,380,2,90,612,5,139
78,"Jason Witten, Dal TE",0/0,0,0,0,0,0,0,74,818,7,123
79,"Mike Wallace, Mia WR",0/0,0,0,0,4,31,0,76,986,5,131
80,"Jeremy Maclin, Phi WR",0/0,0,0,0,0,0,0,63,875,7,127
81,"Sammy Watkins, Buf WR",0/0,0,0,0,7,42,0,65,893,6,127
82,"Stevan Ridley, NE RB",0/0,0,0,0,254,1107,8,8,60,0,156
83,"Eric Decker, NYJ WR",0/0,0,0,0,0,0,0,64,947,8,140
84,"Danny Woodhead, SD RB",0/0,0,0,0,102,385,1,67,534,5,123
85,"Terrance Williams, Dal WR",0/0,0,0,0,4,19,0,57,928,6,127
86,"Anquan Boldin, SF WR",0/0,0,0,0,2,14,0,69,967,4,121
87,"Cecil Shorts, Jac WR  P",0/0,0,0,0,0,0,0,63,882,5,118
88,"DeAndre Hopkins, Hou WR",0/0,0,0,0,0,0,0,64,970,4,119
89,"Riley Cooper, Phi WR",0/0,0,0,0,0,0,0,50,816,5,111
90,"Bishop Sankey, Ten RB",0/0,0,0,0,214,857,6,30,220,1,145
91,"Danny Amendola, NE WR",0/0,0,0,0,0,0,0,65,767,4,98
92,"Greg Jennings, Min WR",0/0,0,0,0,0,0,0,73,832,4,107
93,"Dwayne Bowe, KC WR",0/0,0,0,0,0,0,0,61,720,6,108
94,"Darren Sproles, Phi RB",0/0,0,0,0,40,176,1,91,745,4,117
95,"Steve Smith, Bal WR",0/0,0,0,0,0,0,0,56,676,5,95
96,"Mike Evans, TB WR  P",0/0,0,0,0,0,0,0,55,842,3,100
97,"Hakeem Nicks, Ind WR",0/0,0,0,0,0,0,0,47,761,4,100
98,"Tony Romo, Dal QB  P",413/633,4654,28,15,23,29,0,0,0,0,264
99,"Maurice Jones-Drew, Oak RB",0/0,0,0,0,134,524,6,36,260,1,116
100,"James Jones, Oak WR  P",0/0,0,0,0,0,0,0,57,703,5,98
101,Seahawks D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,203
102,"Dennis Pitta, Bal TE",0/0,0,0,0,0,0,0,63,690,7,111
103,"Fred Jackson, Buf RB  Q",0/0,0,0,0,127,563,4,36,286,1,110
104,"Philip Rivers, SD QB",364/544,4392,28,12,26,45,0,0,0,0,261
105,"Greg Olsen, Car TE",0/0,0,0,0,0,0,0,70,842,5,114
106,"DeAngelo Williams, Car RB",0/0,0,0,0,206,814,2,23,210,1,116
107,"Knowshon Moreno, Mia RB  O",0/0,0,0,0,180,710,5,31,240,1,129
108,"Justin Hunter, Ten WR",0/0,0,0,0,0,0,0,43,722,4,96
109,"Lamar Miller, Mia RB",0/0,0,0,0,115,470,3,21,191,0,82
110,"Jordan Reed, Wsh TE",0/0,0,0,0,0,0,0,61,689,6,102
111,"Markus Wheaton, Pit WR",0/0,0,0,0,0,0,0,53,588,4,82
112,"Jarrett Boykin, GB WR",0/0,0,0,0,0,0,0,50,680,4,92
113,"Jay Cutler, Chi QB",302/485,3653,28,16,32,196,1,0,0,0,245
114,"Khiry Robinson, NO RB",0/0,0,0,0,166,733,4,4,34,0,96
115,"Kyle Rudolph, Min TE",0/0,0,0,0,0,0,0,56,576,8,105
116,"Bernard Pierce, Bal RB",0/0,0,0,0,170,608,4,24,120,0,96
117,"Rueben Randle, NYG WR",0/0,0,0,0,0,0,0,43,675,5,95
118,"Martellus Bennett, Chi TE",0/0,0,0,0,0,0,0,63,735,5,103
119,49ers D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,166
120,"Ben Roethlisberger, Pit QB",319/511,3744,26,13,26,100,1,0,0,0,235
121,"Chris Ivory, NYJ RB  P",0/0,0,0,0,148,743,6,3,17,0,111
122,"Andrew Hawkins, Cle WR",0/0,0,0,0,6,25,0,62,645,3,84
123,Broncos D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,172
124,"Delanie Walker, Ten TE",0/0,0,0,0,0,0,0,55,598,5,87
125,"Darren McFadden, Oak RB",0/0,0,0,0,108,443,4,17,123,0,78
126,"Andy Dalton, Cin QB",317/520,3562,27,15,54,137,2,0,0,0,237
127,"Brandin Cooks, NO WR",0/0,0,0,0,9,52,0,47,566,5,89
128,"Jeremy Hill, Cin RB",0/0,0,0,0,112,509,7,7,45,0,92
129,"Charles Clay, Mia TE",0/0,0,0,0,0,0,0,66,728,5,90
130,"Tavon Austin, StL WR",0/0,0,0,0,13,121,1,46,524,3,84
131,"Brian Hartline, Mia WR",0/0,0,0,0,0,0,0,59,786,2,88
132,"Shonn Greene, Ten RB  P",0/0,0,0,0,140,519,5,6,41,0,83
133,"Doug Baldwin, Sea WR",0/0,0,0,0,2,14,0,52,646,3,83
134,"Zach Ertz, Phi TE",0/0,0,0,0,0,0,0,50,646,4,88
135,"Eli Manning, NYG QB  P",340/550,3912,25,16,20,27,0,0,0,0,222
136,"Steve Johnson, SF WR",0/0,0,0,0,0,0,0,48,590,4,81
137,"Jerricho Cotchery, Car WR",0/0,0,0,0,0,0,0,59,699,3,87
138,"Roy Helu, Wsh RB",0/0,0,0,0,53,216,2,52,395,3,86
139,"Brandon LaFell, NE WR",0/0,0,0,0,2,12,0,42,609,4,85
140,Cardinals D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,138
141,"Donald Brown, SD RB",0/0,0,0,0,84,375,2,22,169,1,71
142,"Mike Williams, Buf WR",0/0,0,0,0,0,0,0,51,704,3,88
143,Panthers D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,192
144,"Antonio Gates, SD TE",0/0,0,0,0,0,0,0,54,604,4,84
145,Bengals D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,124
146,"Carson Palmer, Ari QB",346/566,4191,23,17,19,23,0,0,0,0,221
147,Rams D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,140
148,Chiefs D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,135
149,Patriots D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,132
150,Bills D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,126
151,"Matt Prater, Den K",0/0,0,0,0,0,0,0,0,0,0,171
152,"Stephen Gostkowski, NE K",0/0,0,0,0,0,0,0,0,0,0,163
153,"Justin Tucker, Bal K",0/0,0,0,0,0,0,0,0,0,0,155
154,"Mason Crosby, GB K",0/0,0,0,0,0,0,0,0,0,0,151
155,"Steven Hauschka, Sea K",0/0,0,0,0,0,0,0,0,0,0,151
156,"Phil Dawson, SF K",0/0,0,0,0,0,0,0,0,0,0,150
157,"Nick Novak, SD K",0/0,0,0,0,0,0,0,0,0,0,150
158,"Adam Vinatieri, Ind K",0/0,0,0,0,0,0,0,0,0,0,147
159,"Blair Walsh, Min K",0/0,0,0,0,0,0,0,0,0,0,147
160,"Dan Bailey, Dal K",0/0,0,0,0,0,0,0,0,0,0,145
161,"Denarius Moore, Oak WR",0/0,0,0,0,0,0,0,43,671,3,85
162,"Terrance West, Cle RB",0/0,0,0,0,104,395,4,10,80,0,69
163,"Ladarius Green, SD TE",0/0,0,0,0,0,0,0,38,584,4,82
164,"Aaron Dobson, NE WR  O",0/0,0,0,0,0,0,0,43,612,5,89
165,"Kelvin Benjamin, Car WR",0/0,0,0,0,0,0,0,47,691,2,77
166,"Heath Miller, Pit TE",0/0,0,0,0,0,0,0,61,632,2,75
167,"Mark Ingram, NO RB",0/0,0,0,0,139,531,3,12,77,0,76
168,"Josh McCown, TB QB",246/415,3365,22,10,20,87,1,0,0,0,210
